cost,gamma,degree,error
10000.0,1e-05,5,0.505
10000.0,0.0001,1,0.2507813
10000.0,0.0001,2,0.3660937
10000.0,0.0001,3,0.4892187
10000.0,0.0001,4,0.5009375
10000.0,0.0001,5,0.505
10000.0,0.001,1,0.2520313
10000.0,0.001,2,0.32125
10000.0,0.001,3,0.2925
10000.0,0.001,4,0.4621875
10000.0,0.001,5,0.486875
10000.0,0.01,1,0.2515625
10000.0,0.01,2,0.2865625
10000.0,0.01,3,0.315
10000.0,0.01,4,0.3121875
10000.0,0.01,5,0.2865625
10000.0,0.1,1,0.2535938
10000.0,0.1,2,0.3145312
10000.0,0.1,3,0.3690625
10000.0,0.1,4,0.374375
10000.0,0.1,5,0.3667187
10000.0,1.0,1,0.3854687
10000.0,1.0,2,0.4807812
10000.0,1.0,3,0.3714062
10000.0,1.0,4,0.374375
10000.0,1.0,5,0.3667187
10000.0,10.0,1,0.445
10000.0,10.0,3,0.36875
10000.0,10.0,4,0.374375
10000.0,10.0,5,0.3667187
10000.0,100.0,1,0.4965625
10000.0,100.0,3,0.3692187
10000.0,100.0,4,0.374375
10000.0,100.0,5,0.3667187
10000.0,1000.0,1,0.45125
10000.0,1000.0,3,0.3664062
10000.0,1000.0,4,0.374375
10000.0,1000.0,5,0.3667187
100000.0,1e-06,1,0.2546875
100000.0,1e-06,2,0.5028125
100000.0,1e-06,3,0.505
100000.0,1e-06,4,0.505
100000.0,1e-06,5,0.505
100000.0,1e-05,1,0.250625
100000.0,1e-05,2,0.4704687
100000.0,1e-05,3,0.505
100000.0,1e-05,4,0.505
100000.0,1e-05,5,0.505
100000.0,0.0001,1,0.251875
100000.0,0.0001,2,0.3504687
100000.0,0.0001,3,0.4765625
100000.0,0.0001,4,0.4971875
100000.0,0.0001,5,0.5078125
100000.0,0.001,1,0.2517187
100000.0,0.001,2,0.29125
100000.0,0.001,3,0.2823438
100000.0,0.001,4,0.4235937
100000.0,0.001,5,0.4784375
100000.0,0.01,1,0.2564063
100000.0,0.01,2,0.2848438
100000.0,0.01,3,0.3421875
100000.0,0.01,4,0.3485938
100000.0,0.01,5,0.31875
100000.0,0.1,1,0.4176563
100000.0,0.1,2,0.4521875
100000.0,0.1,3,0.3678125
100000.0,0.1,4,0.374375
100000.0,0.1,5,0.3667187
100000.0,1.0,1,0.4223437
100000.0,1.0,2,0.4559375
100000.0,1.0,3,0.3714062
100000.0,1.0,4,0.374375
100000.0,1.0,5,0.3667187
100000.0,10.0,1,0.4453125
100000.0,10.0,3,0.36875
100000.0,10.0,4,0.374375
100000.0,10.0,5,0.3667187
100000.0,100.0,1,0.530625
100000.0,100.0,3,0.3692187
100000.0,100.0,4,0.374375
100000.0,100.0,5,0.3667187
100000.0,1000.0,1,0.4454688
100000.0,1000.0,3,0.3664062
100000.0,1000.0,4,0.374375
100000.0,1000.0,5,0.3667187
